Generation,DE_Mean,DE_Std,PSO_Mean,PSO_Std,ABC_Mean,ABC_Std,FA_Mean,FA_Std,CS_Mean,CS_Std,TLBO_Mean,TLBO_Std,SA_Mean,SA_Std,HC_Mean,HC_Std
81,721.617800,317.852462,13.443744,21.854638,7.054911,11.473977,689.488525,627.084086,3982.701313,3780.790357,7.136343,0.458732,154.014095,195.881755,93.535670,78.642763
82,654.539101,284.669235,13.369840,21.771275,6.998986,11.459678,657.228265,565.079149,3800.490595,3470.809344,7.116480,0.466582,154.010457,195.883328,93.535670,78.642763
83,649.250494,277.827747,13.309630,21.667662,6.913365,11.484376,645.351313,570.587795,3634.114021,3205.964245,7.101166,0.478853,154.008265,195.884097,93.535670,78.642763
84,639.714519,262.098215,13.235612,21.564720,6.358634,10.518814,632.024176,556.210833,3533.186063,3155.852147,7.090095,0.482254,154.004349,195.886166,93.395319,78.751727
85,598.108280,249.339965,13.085173,21.217122,6.107004,10.193231,601.029892,536.912979,3413.301170,3032.312979,7.073429,0.484937,154.003444,195.886527,91.595255,79.083141
86,590.664317,253.159978,12.961574,20.968908,6.053799,10.150862,594.777623,538.867076,3104.892659,2619.737221,7.060128,0.486447,154.001998,195.887263,91.595255,79.083141
87,585.901620,254.330904,12.869815,20.857782,5.801476,9.978026,590.467198,540.157579,2991.485587,2556.256127,7.050517,0.488647,154.000163,195.888141,91.480907,79.155823
88,577.323662,245.044567,12.826126,20.860651,5.794515,9.978046,578.162343,539.359342,2882.903753,2441.761593,7.040538,0.489573,153.998923,195.888727,91.329034,79.228938
89,534.819865,217.823119,12.800239,20.869151,5.762630,9.973573,565.397653,541.557222,2803.227547,2382.513986,7.027289,0.491344,153.997427,195.889419,91.329034,79.228938
90,509.349075,218.181754,12.712025,20.687718,5.724941,9.986896,551.839849,516.872814,2638.389785,2326.897713,7.004974,0.498279,153.996555,195.889874,91.329034,79.228938
91,500.594509,210.363822,12.686938,20.696444,5.613808,9.915913,545.299536,511.484347,2554.478712,2278.322520,6.990816,0.501206,153.996118,195.890103,91.329034,79.228938
92,490.297938,215.328744,12.643989,20.674189,5.476147,9.855552,531.980037,509.211565,2450.404120,2207.100602,6.974543,0.510047,153.995766,195.890245,91.329034,79.228938
93,475.078114,216.952318,12.564206,20.567867,5.463173,9.846909,526.158508,508.231787,2392.923379,2176.606482,6.958217,0.516904,153.995485,195.890391,90.156548,79.990127
94,466.307138,216.392962,12.497992,20.495757,5.366186,9.794790,514.905872,493.430592,2315.393285,2102.435034,6.945778,0.521055,153.994955,195.890638,89.590055,79.618148
95,459.354994,209.955104,12.337281,20.217393,5.349993,9.796622,513.110886,494.116308,2224.763799,2017.282246,6.932087,0.525397,153.994625,195.890781,89.389156,79.722892
96,451.292678,202.894721,12.170816,19.986555,5.331093,9.796194,509.751861,493.412358,2142.120933,1946.849129,6.922668,0.529337,153.994413,195.890867,89.389156,79.722892
97,440.189644,200.267765,11.395581,18.827786,5.307987,9.794996,495.865730,471.267168,2064.137452,1864.007358,6.909222,0.533066,153.994219,195.890943,89.389156,79.722892
98,419.950602,192.268303,10.853435,18.488204,5.267896,9.779736,485.403891,466.390996,1983.139624,1787.768314,6.897472,0.536119,153.994210,195.890946,89.389156,79.722892
99,409.597347,196.485912,10.825434,18.490165,5.165618,9.769275,481.943257,465.703278,1940.058042,1755.506875,6.889761,0.539141,153.994090,195.890991,89.389156,79.722892
100,404.056138,195.191881,10.796818,18.476939,5.032075,9.789860,467.065270,442.494369,1846.975686,1669.750737,6.878599,0.543382,,,,
